filename,title,company_name,location,posted_date,applicants,salary,Python,SQL,SAS,C++,MSc,PhD,Cloud,AWS,Azure,Statistics,Computer Science,CS,consulting,Salary
file_266,"Data Scientist (Retail Industry) - Remote, UK Wide",Nigel Frank International,,1 month ago,3 applicants,,True,True,False,False,False,False,True,False,True,True,False,False,False,45000,
file_267,Lead Data Scientist,BNY Mellon,,3 days ago,15 applicants,,False,False,False,False,False,False,False,False,False,False,False,False,False,
file_268,"Senior Data Scientist, Monzo Flex",Monzo Bank,,3 weeks ago,38 applicants,,True,True,False,False,False,False,False,False,False,False,False,False,False,
file_269,Data Scientist,SSE plc,,2 days ago,5 applicants,,True,False,False,False,False,False,False,True,False,False,False,False,False,
file_27,Data Scientist,Ombudsman Services,,2 weeks ago,86 applicants,,True,True,False,False,False,False,False,False,False,False,False,False,False,
file_270,"Investigator, Genomic Data Scientist",GSK,,1 month ago,5 applicants,,True,True,False,False,False,False,False,False,False,False,False,False,False,
file_271,Data Scientist,Revoco,,3 days ago,,,True,False,False,False,False,False,False,False,False,True,True,False,False,
file_272,"Investigator, Genomic Data Scientist",GSK,,1 month ago,6 applicants,,True,True,False,False,False,False,False,False,False,False,False,False,False,
file_273,Data Scientist,Assystem,,1 week ago,74 applicants,,False,False,False,False,False,False,False,False,False,False,False,False,False,
file_274,"Data Scientist, LONDON BOROUGH OF LEWISHAM",Guardian Jobs,,1 week ago,27 applicants,,False,False,False,False,False,False,False,False,False,False,False,False,False,
file_275,Senior Data Scientist (Pricing),Direct Line Group,,3 days ago,1 applicant,,True,False,False,False,False,False,False,False,False,False,False,False,False,
file_276,Data Scientist,The Standard P&I Club,,5 days ago,55 applicants,,False,True,False,False,False,False,False,False,False,False,False,False,False,
file_277,Data Scientist / Statistician - Derby,Michael Page,,4 weeks ago,1 applicant,,True,False,False,False,False,True,False,False,False,False,False,False,False,60000,
file_278,Data Scientist,Nigel Frank International,,1 month ago,4 applicants,,True,True,False,False,False,False,True,False,True,False,False,False,False,60000,
file_279,Data Scientist,Watchfinder,,1 week ago,119 applicants,,True,True,False,False,False,False,False,True,True,True,True,False,False,
file_28,Insights Data Scientist,Harnham,,1 month ago,43 applicants,,True,True,False,False,False,False,False,False,False,False,False,False,False,60000,
file_280,Data Science Lead - Computational Social Science,Ofcom,,2 days ago,6 applicants,,True,False,False,False,False,True,False,False,True,True,False,False,False,
file_281,Data Scientist - Cambridge,Nigel Frank International,,1 month ago,,,True,True,False,False,False,False,True,False,True,False,False,False,False,60000,
